Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
2019,Brett Anderson,OAK,82,315,3.9512,2.1951,1.8,0.6585,0.1143,0.0635,0.0508,0.247349823,1.0976,0.257,0.3271,4.165228988,4.718043191,8223
2019,Homer Bailey,2 Tms,71.2,287,8.1628,2.5116,3.25,1.2558,0.2265,0.0697,0.1568,0.260700389,1.214,0.3016,0.2237,4.176799725,4.361304154,8362
2019,Justin Verlander,HOU,66.2,239,10.53,1.62,6.5,1.08,0.3264,0.0502,0.2762,0.154545454,0.69,0.1912,0.3266,3.199009484,3.459132735,8700
2019,Tanner Roark,2 Tms,76.2,306,8.3348,2.5826,3.2273,0.8217,0.232,0.0719,0.1601,0.253623188,1.2,0.3134,0.3899,3.605313653,4.338372925,8753
2019,Wade Miley,HOU,68.1,286,6.7171,3.5561,1.8889,0.922,0.1783,0.0944,0.0839,0.272,1.3902,0.305,0.3364,4.28230268,4.580773987,8779
2019,Andrew Cashner,2 Tms,69.2,267,6.3301,2.7129,2.3333,1.0335,0.1835,0.0787,0.1049,0.25,1.1627,0.2781,0.1393,4.290563984,4.653698485,8782
2019,Oliver Drake,TBR,21.1,82,12.2344,4.6406,2.6364,1.6875,0.3537,0.1341,0.2195,0.183098591,1.125,0.2368,0.4891,4.479636453,3.06781853,8823
2019,Kirby Yates,SDP,27.2,106,14.9638,2.9277,5.1111,0,0.434,0.0849,0.3491,0.141304347,0.7952,0.2708,0.52,1.18991553,2.48409611,9073
2019,Brad Hand,CLE,28.1,113,13.9765,3.4941,4,0.6353,0.3894,0.0973,0.292,0.227722772,1.2,0.375,0.5449,2.190478861,2.8173924,9111
2019,Nathan Eovaldi,BOS,34,135,9.2647,4.2353,2.1875,1.5882,0.2593,0.1185,0.1407,0.252173913,1.3235,0.2987,0.266,4.949303593,4.293355496,9132
2019,Patrick Corbin,WSN,80.1,328,9.7469,4.3693,2.2308,0.6722,0.2652,0.1189,0.1463,0.238970588,1.2946,0.3026,0.4348,3.512764786,4.052286489,9323
2019,Jared Hughes,2 Tms,29,114,5.5862,3.1034,1.8,1.8621,0.1579,0.0877,0.0702,0.282828282,1.3103,0.275,0.2703,5.696768096,3.830232599,9325
2019,Josh Tomlin,ATL,36,135,5.25,0.75,7,1,0.1556,0.0222,0.1333,0.253968253,0.9722,0.2617,0.3401,3.741787253,4.618083005,9388
2019,Dallas Keuchel,ATL,57,224,6.3158,2.5263,2.5,1.1053,0.1786,0.0714,0.1071,0.23857868,1.1053,0.2581,0.473,4.564886668,4.224735998,9434
2019,Ryan Buchter,OAK,23,92,10.1739,5.087,2,1.1739,0.2826,0.1413,0.1413,0.219178082,1.2609,0.26,0.7258,4.344444258,4.551510754,9456
2019,Dan Straily,BAL,22.1,107,4.8358,4.0299,1.2,5.2388,0.1121,0.0935,0.0187,0.354838709,1.9254,0.2817,0,11.18417062,7.357895379,9460
2019,Jeremy Jeffress,MIL,24,100,7.875,1.125,7,1.5,0.21,0.03,0.18,0.318681318,1.3333,0.3676,0.1645,4.505676142,4.079564622,9490
2019,Joe Kelly,LAD,26,111,9.6923,3.8077,2.5455,1.0385,0.2523,0.0991,0.1532,0.242424242,1.3462,0.3088,0.2516,3.944778706,3.362873729,9761
2019,Miles Mikolas,STL,83.1,314,6.804,1.188,5.7273,1.512,0.2006,0.035,0.1656,0.267361111,1.056,0.2851,0.218,4.462009975,4.116036071,9803
2019,Sergio Romo,2 Tms,24.2,101,9.8513,4.3784,2.25,0.7297,0.2673,0.1188,0.1485,0.223529411,1.2568,0.2833,0.3191,3.538333362,4.581008423,9817
2019,Chaz Roe,TBR,31.1,129,10.0532,3.1596,3.1818,0.5745,0.2713,0.0853,0.186,0.252173913,1.2766,0.3375,0.3927,2.958690056,3.779521341,9866
2019,Brandon Kintzler,CHC,28,103,7.0714,2.25,3.1429,0.3214,0.2136,0.068,0.1456,0.225806451,1,0.2817,0.5594,3.071152334,4.09877103,9939
2019,Mike Minor,TEX,92,349,6.9457,2.4457,2.84,0.8804,0.2034,0.0716,0.1318,0.242811501,1.0978,0.2769,0.4204,3.822705128,4.691524501,10021
2019,Kyle Gibson,MIN,73.2,320,8.3077,4.0317,2.0606,0.9774,0.2125,0.1031,0.1094,0.304659498,1.6018,0.3702,0.337,4.245683217,4.184058278,10123
2019,Mike Leake,2 Tms,78.1,313,5.8596,1.4936,3.9231,1.9532,0.1629,0.0415,0.1214,0.281786941,1.2128,0.2851,0.1197,5.384223165,4.416716746,10130
2019,Stephen Strasburg,WSN,76.1,303,8.9607,2.2402,4,1.179,0.2508,0.0627,0.1881,0.243542435,1.1135,0.2917,0.3377,3.908332923,3.847022467,10131
2019,Tyler Skaggs,LAA,31.2,132,8.2421,3.1263,2.6364,1.1368,0.2197,0.0833,0.1364,0.282051282,1.3895,0.3333,0.2284,4.161376899,4.52941614,10190
2019,Shelby Miller,TEX,22.1,116,6.4478,6.8508,0.9412,2.4179,0.1379,0.1466,-0.0086,0.34065934,2.1493,0.3378,0.1643,7.960285216,7.139814281,10197
2019,Aroldis Chapman,NYY,31.2,118,13.3579,1.9895,6.7143,0.2842,0.3983,0.0593,0.339,0.141509433,0.6947,0.2258,0.3241,1.414011371,1.945739913,10233
2019,Zack Wheeler,NYM,86.2,361,7.7885,2.9077,2.6786,1.0385,0.2078,0.0776,0.1302,0.261829652,1.2808,0.2944,0.3093,3.95247073,4.403422479,10310
2019,Robbie Erlin,SDP,31,132,7.2581,2.0323,3.5714,0.5806,0.1894,0.053,0.1364,0.291666666,1.3548,0.3402,0.2736,3.214009476,4.36450568,10354
2019,Mychal Givens,BAL,31.2,117,10.2316,3.1263,3.2727,0.8526,0.3077,0.094,0.2137,0.173076923,0.9158,0.2239,0.1613,3.214009476,3.552855868,10430
2019,Chad Bettis,COL,30,129,5.4,3.3,1.6364,1.8,0.1395,0.0853,0.0543,0.300884955,1.5,0.3077,0.1263,6.014009476,4.74014673,10587
2019,Chris Sale,BOS,56,231,13.0179,1.4464,9,1.9286,0.3506,0.039,0.3117,0.260663507,1.1429,0.3468,0.0192,3.856866618,2.91827208,10603
2019,Shane Greene,2 Tms,22.1,88,8.4627,2.8209,3,1.6119,0.2386,0.0795,0.1591,0.22077922,1.0746,0.2407,0.3922,4.870720948,4.323742774,10756
